function,execution_time,intermediate_times
error_handling,9.5367431640625e-07,[9.53674316e-07]
game_status,6.712116241455078,"[0.04585218 0.05150795 0.06264591 0.06643629 0.05706859 0.06540179
 0.08111191 0.0718627  0.06500411 0.08112597 0.07667518 0.09135103
 0.09000826 0.08440065 0.08357596 0.09617639 0.08899736 0.10198426
 0.0889039  0.10171056 0.10125709 0.0915947  0.10831976 0.0839889
 0.11034274 0.09117913 0.09503627 0.09821439 0.08684349 0.09795785
 0.08661509 0.09448004 0.08728957 0.09139824 0.08838081 0.09473276
 0.08193946 0.09862351 0.0849278  0.09690142 0.091398   0.10531425
 0.07937288 0.09631801 0.07098079 0.09274316 0.07990098 0.08768225
 0.07071638 0.08672738 0.08725286 0.08150458 0.06266069 0.06712532
 0.06735134 0.06306767 0.06551147 0.05725241 0.06975579 0.06062794
 0.0725019  0.05455709 0.07157612 0.05082679 0.07112527 0.06248498
 0.0787878  0.05281949 0.06702423 0.05596733 0.06190515 0.07196093
 0.06441569 0.058007   0.06444907 0.04874277 0.05793095 0.04932928
 0.05897307 0.0471251  0.05463243 0.05417013 0.05722475 0.04115152
 0.03303647 0.03601718 0.02774119 0.0322392  0.02138948 0.03144217
 0.01941538 0.01900697 0.01795864 0.01748943 0.0151825  0.01975965
 0.00736332 0.01365995 0.00594425 0.00169349]"
get_possible_moves,13.669530153274536,"[4.54242229e-02 4.62007523e-02 5.09333611e-02 6.37209415e-02
 6.11674786e-02 6.18350506e-02 6.59554005e-02 6.20517731e-02
 5.64825535e-02 5.87990284e-02 6.49821758e-02 7.13305473e-02
 8.07015896e-02 8.35168362e-02 7.14573860e-02 8.07633400e-02
 6.45656586e-02 6.70318604e-02 8.06846619e-02 8.46650600e-02
 7.62550831e-02 7.93592930e-02 9.09008980e-02 9.55350399e-02
 8.95702839e-02 9.15079117e-02 8.39655399e-02 9.06195641e-02
 8.31437111e-02 8.91864300e-02 9.57357883e-02 9.93623734e-02
 8.85264874e-02 9.55998898e-02 1.01518154e-01 1.05009317e-01
 8.84511471e-02 9.31534767e-02 1.01199389e-01 1.01724386e-01
 1.00756407e-01 1.06153727e-01 9.10835266e-02 9.58027840e-02
 1.07813597e-01 1.11163139e-01 8.34264755e-02 8.61485004e-02
 1.09811306e-01 1.15609646e-01 9.06019211e-02 9.59935188e-02
 9.45014954e-02 9.58156586e-02 9.76510048e-02 9.98661518e-02
 8.62696171e-02 9.04231071e-02 9.73925591e-02 1.04266882e-01
 8.60509872e-02 9.03899670e-02 9.39407349e-02 9.77692604e-02
 8.67173672e-02 8.80217552e-02 9.08327103e-02 9.26258564e-02
 8.78138542e-02 9.23373699e-02 9.41045284e-02 9.68101025e-02
 8.13312531e-02 8.59744549e-02 9.80980396e-02 1.01894855e-01
 8.43520164e-02 8.67419243e-02 9.62786674e-02 9.36536789e-02
 9.07673836e-02 8.76159668e-02 1.04450941e-01 1.09351635e-01
 7.87761211e-02 8.37435722e-02 9.56356525e-02 1.01486683e-01
 7.00182915e-02 7.00364113e-02 9.21385288e-02 9.50777531e-02
 7.92615414e-02 8.74581337e-02 8.68537426e-02 8.68382454e-02
 6.97250366e-02 7.37195015e-02 8.58573914e-02 1.06317520e-01
 8.62469673e-02 8.03909302e-02 7.98108578e-02 1.02681875e-01
 6.19647503e-02 6.58915043e-02 6.65528774e-02 6.91735744e-02
 6.66210651e-02 6.91733360e-02 6.23900890e-02 6.67886734e-02
 6.48396015e-02 7.06121922e-02 5.65583706e-02 6.07662201e-02
 6.90963268e-02 7.17287064e-02 5.99720478e-02 6.33685589e-02
 7.18171597e-02 7.29467869e-02 5.38496971e-02 5.55624962e-02
 7.08186626e-02 7.61170387e-02 5.01315594e-02 5.48586845e-02
 7.03384876e-02 7.21251965e-02 6.18228912e-02 6.34636879e-02
 7.80496597e-02 7.38992691e-02 5.21237850e-02 5.67748547e-02
 6.63244724e-02 1.07843876e-01 5.52690029e-02 6.01825714e-02
 6.12063408e-02 7.38153458e-02 7.12480545e-02 7.05254078e-02
 6.36973381e-02 6.66399002e-02 5.73148727e-02 6.34202957e-02
 6.37187958e-02 6.75523281e-02 4.80425358e-02 5.10935783e-02
 5.71949482e-02 6.05587959e-02 4.86056805e-02 5.30409813e-02
 5.82504272e-02 6.05208874e-02 4.64181900e-02 5.09424210e-02
 5.38127422e-02 5.65307140e-02 5.32653332e-02 5.70414066e-02
 5.63926697e-02 5.09529114e-02 4.04248238e-02 4.48334217e-02
 3.22926044e-02 3.40120792e-02 3.51157188e-02 3.81937027e-02
 2.70242691e-02 3.11706066e-02 3.15163136e-02 3.47487926e-02
 2.06608772e-02 2.47604847e-02 3.06961536e-02 3.24590206e-02
 1.86791420e-02 2.27591991e-02 1.82778835e-02 2.05018520e-02
 1.72200203e-02 1.90415382e-02 1.67486668e-02 1.95319653e-02
 1.44679546e-02 1.46045685e-02 1.22046471e-02 5.96213341e-03
 1.62079334e-02 6.57415390e-03 7.75861740e-03 1.28774643e-02
 1.29721165e-02 5.12695312e-03 5.33604622e-03 1.43051147e-06
 1.43051147e-06]"
get_winner,8.606910705566406e-05,[8.60691071e-05]
init_adjacent_cells,3.5762786865234375e-06,[3.57627869e-06]
init_board,2.384185791015625e-06,[2.38418579e-06]
is_valid_direction,0.06344318389892578,"[4.76837158e-06 5.24520874e-06 5.48362732e-06 ... 7.15255737e-07
 6.43730164e-06 5.96046448e-06]"
othello,25.56888437271118,[25.56888437]
play,0.5218255519866943,"[0.00348377 0.00627732 0.00494552 0.00331235 0.00402093 0.00352407
 0.0039227  0.00386834 0.00332236 0.0034039  0.00344419 0.00403285
 0.00388789 0.00364566 0.00365043 0.00366449 0.00381613 0.003824
 0.00406051 0.0042274  0.00415921 0.00428152 0.00414801 0.00439906
 0.00429845 0.00436711 0.00431108 0.00586414 0.00432897 0.0045507
 0.00458527 0.00455451 0.00480819 0.00495625 0.00465918 0.0047543
 0.00473022 0.00473619 0.00536108 0.00521684 0.00484943 0.00526619
 0.00510478 0.00512123 0.00522971 0.00554729 0.00614858 0.00563478
 0.00551414 0.00592017 0.00563407 0.00520396 0.00505257 0.00492811
 0.00510859 0.0052352  0.00540209 0.00558996 0.00620937 0.00563908
 0.00663161 0.00538945 0.00559974 0.00583076 0.00642824 0.00656867
 0.00558925 0.005723   0.00575304 0.00564003 0.0062356  0.01044893
 0.0055964  0.00572681 0.00671911 0.00569701 0.00656915 0.00587773
 0.00574541 0.00589275 0.00606751 0.00698853 0.00594139 0.00626612
 0.00593209 0.00589728 0.00657892 0.00615621 0.00631952 0.00608158
 0.00635982 0.00679588 0.00641799 0.00678349 0.00664067 0.00705051
 0.00828648 0.00785446]"
strategy,0.0004470348358154297,"[6.91413879e-06 5.24520874e-06 5.72204590e-06 5.96046448e-06
 5.48362732e-06 5.48362732e-06 5.96046448e-06 8.82148743e-06
 4.05311584e-06 4.05311584e-06 3.81469727e-06 5.96046448e-06
 4.29153442e-06 4.52995300e-06 4.29153442e-06 4.05311584e-06
 4.52995300e-06 4.05311584e-06 4.52995300e-06 4.29153442e-06
 4.29153442e-06 4.29153442e-06 4.29153442e-06 3.81469727e-06
 4.29153442e-06 5.00679016e-06 4.29153442e-06 5.00679016e-06
 5.00679016e-06 3.81469727e-06 4.52995300e-06 4.52995300e-06
 4.05311584e-06 4.29153442e-06 4.05311584e-06 4.52995300e-06
 4.52995300e-06 4.05311584e-06 4.29153442e-06 4.76837158e-06
 4.76837158e-06 4.05311584e-06 4.52995300e-06 3.81469727e-06
 4.05311584e-06 4.29153442e-06 4.76837158e-06 4.05311584e-06
 4.52995300e-06 5.00679016e-06 4.76837158e-06 4.52995300e-06
 4.29153442e-06 4.52995300e-06 3.81469727e-06 4.05311584e-06
 5.48362732e-06 4.52995300e-06 4.29153442e-06 4.29153442e-06
 4.76837158e-06 4.52995300e-06 3.81469727e-06 4.52995300e-06
 4.52995300e-06 7.39097595e-06 4.05311584e-06 5.48362732e-06
 4.05311584e-06 4.29153442e-06 4.52995300e-06 4.76837158e-06
 4.29153442e-06 5.00679016e-06 4.05311584e-06 5.00679016e-06
 4.76837158e-06 4.05311584e-06 4.52995300e-06 4.05311584e-06
 4.05311584e-06 5.96046448e-06 4.05311584e-06 4.52995300e-06
 3.81469727e-06 3.81469727e-06 4.76837158e-06 4.52995300e-06
 4.05311584e-06 3.57627869e-06 4.05311584e-06 4.05311584e-06
 3.81469727e-06 4.05311584e-06 5.24520874e-06 4.05311584e-06
 3.81469727e-06 4.05311584e-06]"
